Price,Close,High,Low,Open,Volume,SMA20,SMA50,EMA20,RSI,EMA12,EMA26,MACD,Signal
Ticker,^NSEI,^NSEI,^NSEI,^NSEI,^NSEI,,,,,,,,
Date,,,,,,,,,,,,,
2025-11-06,25509.69921875,25679.150390625,25491.55078125,25593.349609375,371900,,,25509.69921875,,25509.69921875,25509.69921875,0.0,0.0
2025-11-07,25492.30078125,25551.25,25318.44921875,25433.80078125,305600,,,25508.04222470238,,25507.022536057695,25508.410445601854,-1.3879095441589016,-0.2775819088317803
2025-11-10,25574.349609375,25653.44921875,25503.5,25503.5,243600,,,25514.35721371882,,25517.38054733728,25513.294828103568,4.085719233713462,0.5950783196772682
2025-11-11,25694.94921875,25715.80078125,25449.25,25617.0,297700,,,25531.556452293218,,25544.6988044777,25526.750708892192,17.948095585506962,4.065681772843207
2025-11-12,25875.80078125,25934.55078125,25781.150390625,25834.30078125,312600,,,25564.34162647958,,25595.63757013498,25552.606269807584,43.031300327395,11.858805483753567
2025-11-13,25879.150390625,26010.69921875,25808.400390625,25906.099609375,385200,,,25594.32341354105,,25639.254927133446,25576.794723201467,62.46020393197978,21.979085173398808
2025-11-14,25910.05078125,25940.19921875,25740.80078125,25767.900390625,518900,,,25624.39268665619,,25680.915827766763,25601.480357130986,79.43547063577716,33.47036226587448
2025-11-17,26013.44921875,26024.19921875,25906.349609375,25948.19921875,281800,,,25661.445689712742,,25732.074810994953,25631.996569102765,100.07824189218809,46.791938191137206
2025-11-18,25910.05078125,26029.849609375,25876.5,26021.80078125,280000,,,25685.122365097242,,25759.45572949573,25652.593177409966,106.86255208576404,58.806060970062575
2025-11-19,26052.650390625,26074.650390625,25856.19921875,25918.099609375,250100,,,25720.125034195124,,25804.562600438694,25682.227045055522,122.3355553831716,71.51195985268438
2025-11-20,26192.150390625,26246.650390625,26063.19921875,26132.099609375,240400,,,25765.079830045586,,25864.191491236586,25719.999144727335,144.19234650925137,86.04803718399779
2025-11-21,26068.150390625,26179.19921875,26052.19921875,26109.55078125,235600,,,25793.94369295791,,25895.569783450188,25745.78812590494,149.7816575452489,98.79476125624801
2025-11-24,25959.5,26142.80078125,25912.150390625,26122.80078125,464700,,,25809.71096029525,,25905.405201380927,25761.618635097166,143.7865662837612,107.79312226175065
2025-11-25,25884.80078125,26032.599609375,25857.5,25998.5,260500,,,25816.86237181475,65.23076288633632,25902.235290591554,25770.743238515894,131.49205207566047,112.53290822453262
